Staff_group,Reason,SA_rate_pct,Reason_code,Reason_name,Month
Specialty Doctor,S13 Cold Cough Flu - Influenza,307.5185,S13,Cold Cough Flu - Influenza,2021-04
Support to ST&T staff,S14 Asthma,306.76684,S14,Asthma,2021-04
Specialty Doctor,S27 Infectious diseases,304.1,S27,Infectious diseases,2021-04
Managers,S28 Injury fracture,301.12,S28,Injury fracture,2021-04
Support to ST&T staff,S18 Blood disorders,301.02964,S18,Blood disorders,2021-04
Consultant,S26 Genitourinary & gynaecological disorders,300.394,S26,Genitourinary & gynaecological disorders,2021-04
Senior managers,S25 Gastrointestinal problems,298.79992,S25,Gastrointestinal problems,2021-04
Managers,S26 Genitourinary & gynaecological disorders,298.74666,S26,Genitourinary & gynaecological disorders,2021-04
"Support to doctors, nurses & midwives",S32 Substance abuse,297.2399,S32,Substance abuse,2021-04
Consultant,S23 Eye problems,292.82105,S23,Eye problems,2021-04
Core Training,S12 Other musculoskeletal problems,291.3225,S12,Other musculoskeletal problems,2021-04
Managers,S29 Nervous system disorders,286,S29,Nervous system disorders,2021-04
Midwives,S23 Eye problems,283.13322,S23,Eye problems,2021-04
NHS infrastructure support,S32 Substance abuse,280.8,S32,Substance abuse,2021-04
Core Training,S27 Infectious diseases,275.2,S27,Infectious diseases,2021-04
"Hotel, property & estates",S14 Asthma,272.21337,S14,Asthma,2021-04
Specialty Doctor,S15 Chest & respiratory problems,268.5,S15,Chest & respiratory problems,2021-04
Specialty Doctor,S25 Gastrointestinal problems,264.42473,S25,Gastrointestinal problems,2021-04
Support to ambulance staff,S22 Dental and oral problems,264.06953,S22,Dental and oral problems,2021-04
Senior managers,S13 Cold Cough Flu - Influenza,260.83477,S13,Cold Cough Flu - Influenza,2021-04
Specialty Registrar,S19 Heart cardiac & circulatory problems,260.225,S19,Heart cardiac & circulatory problems,2021-04
Senior managers,S27 Infectious diseases,256,S27,Infectious diseases,2021-04
Core Training,S16 Headache / migraine,253.325,S16,Headache / migraine,2021-04
Senior managers,S99 Unknown causes / Not specified,253.05324,S99,Unknown causes / Not specified,2021-04
Core Training,S30 Pregnancy related disorders,251.41875,S30,Pregnancy related disorders,2021-04
Foundation Doctor Year 1,S99 Unknown causes / Not specified,243.43625,S99,Unknown causes / Not specified,2021-04
Specialty Doctor,S11 Back Problems,240.5,S11,Back Problems,2021-04
Support to ambulance staff,S31 Skin disorders,238.84796,S31,Skin disorders,2021-04
Senior managers,S15 Chest & respiratory problems,231.90657,S15,Chest & respiratory problems,2021-04
NHS infrastructure support,S20 Burns poisoning frostbite hypothermia,226.83999,S20,Burns poisoning frostbite hypothermia,2021-04
Core Training,S15 Chest & respiratory problems,225.875,S15,Chest & respiratory problems,2021-04
HCHS doctors,S22 Dental and oral problems,223.57325,S22,Dental and oral problems,2021-04
Support to ambulance staff,S14 Asthma,220.93334,S14,Asthma,2021-04
Midwives,S31 Skin disorders,218.15662,S31,Skin disorders,2021-04
Specialty Doctor,S19 Heart cardiac & circulatory problems,215.9,S19,Heart cardiac & circulatory problems,2021-04
Professionally qualified clinical staff,S32 Substance abuse,211.16,S32,Substance abuse,2021-04
Ambulance staff,S31 Skin disorders,204.1896,S31,Skin disorders,2021-04
Foundation Doctor Year 2,S98 Other known causes - not elsewhere classified,199.4625,S98,Other known causes - not elsewhere classified,2021-04
Core Training,S28 Injury fracture,197.24375,S28,Injury fracture,2021-04
Senior managers,S28 Injury fracture,190.6,S28,Injury fracture,2021-04
Foundation Doctor Year 2,S99 Unknown causes / Not specified,189.20625,S99,Unknown causes / Not specified,2021-04
Consultant,S16 Headache / migraine,186.825,S16,Headache / migraine,2021-04
Support to ambulance staff,S18 Blood disorders,185.65338,S18,Blood disorders,2021-04
Foundation Doctor Year 1,S98 Other known causes - not elsewhere classified,184.71875,S98,Other known causes - not elsewhere classified,2021-04
Foundation Doctor Year 2,S16 Headache / migraine,183.2,S16,Headache / migraine,2021-04
Midwives,S24 Endocrine / glandular problems,173.38657,S24,Endocrine / glandular problems,2021-04
Specialty Registrar,S29 Nervous system disorders,171.5,S29,Nervous system disorders,2021-04
Foundation Doctor Year 1,S16 Headache / migraine,170.31875,S16,Headache / migraine,2021-04
Consultant,S30 Pregnancy related disorders,167.46,S30,Pregnancy related disorders,2021-04
HCHS doctors,S24 Endocrine / glandular problems,166.8,S24,Endocrine / glandular problems,2021-04
HCHS doctors,S14 Asthma,165.5,S14,Asthma,2021-04
Specialty Registrar,S26 Genitourinary & gynaecological disorders,165.45625,S26,Genitourinary & gynaecological disorders,2021-04
HCHS doctors,S31 Skin disorders,164.76331,S31,Skin disorders,2021-04
Specialty Doctor,S17 Benign and malignant tumours cancers,164.6,S17,Benign and malignant tumours cancers,2021-04
Specialty Registrar,S21 Ear nose throat (ENT),161.4,S21,Ear nose throat (ENT),2021-04
"Hotel, property & estates",S32 Substance abuse,152.8,S32,Substance abuse,2021-04
"Hotel, property & estates",S20 Burns poisoning frostbite hypothermia,151.23999,S20,Burns poisoning frostbite hypothermia,2021-04
HCHS doctors,S18 Blood disorders,150.95,S18,Blood disorders,2021-04
Consultant,S29 Nervous system disorders,146.2118,S29,Nervous system disorders,2021-04
Senior managers,S19 Heart cardiac & circulatory problems,143,S19,Heart cardiac & circulatory problems,2021-04
Core Training,S11 Back Problems,141.98125,S11,Back Problems,2021-04
Foundation Doctor Year 1,S13 Cold Cough Flu - Influenza,141.10625,S13,Cold Cough Flu - Influenza,2021-04
Senior managers,S12 Other musculoskeletal problems,139.1,S12,Other musculoskeletal problems,2021-04
Managers,S30 Pregnancy related disorders,136.02668,S30,Pregnancy related disorders,2021-04
Specialty Doctor,S30 Pregnancy related disorders,135.95,S30,Pregnancy related disorders,2021-04
Ambulance staff,S29 Nervous system disorders,135.31997,S29,Nervous system disorders,2021-04
Other staff or those with unknown classification,S12 Other musculoskeletal problems,132.6,S12,Other musculoskeletal problems,2021-04
Ambulance staff,S22 Dental and oral problems,130.12363,S22,Dental and oral problems,2021-04
Other and Local HCHS Doctor Grades,S28 Injury fracture,129.6,S28,Injury fracture,2021-04
Core Training,S21 Ear nose throat (ENT),128.5,S21,Ear nose throat (ENT),2021-04
Central functions,S32 Substance abuse,128,S32,Substance abuse,2021-04
Support to ST&T staff,S20 Burns poisoning frostbite hypothermia,126.6,S20,Burns poisoning frostbite hypothermia,2021-04
Midwives,S22 Dental and oral problems,123.97338,S22,Dental and oral problems,2021-04
Foundation Doctor Year 2,S13 Cold Cough Flu - Influenza,123.7125,S13,Cold Cough Flu - Influenza,2021-04
Senior managers,S11 Back Problems,122.42673,S11,Back Problems,2021-04
Consultant,S21 Ear nose throat (ENT),121.6928,S21,Ear nose throat (ENT),2021-04
Foundation Doctor Year 1,S15 Chest & respiratory problems,121,S15,Chest & respiratory problems,2021-04
Foundation Doctor Year 2,S28 Injury fracture,119.1,S28,Injury fracture,2021-04
Senior managers,S26 Genitourinary & gynaecological disorders,119,S26,Genitourinary & gynaecological disorders,2021-04
Associate Specialist,S98 Other known causes - not elsewhere classified,118.8,S98,Other known causes - not elsewhere classified,2021-04
Senior managers,S16 Headache / migraine,115.33333,S16,Headache / migraine,2021-04
Specialty Doctor,S16 Headache / migraine,115.163,S16,Headache / migraine,2021-04
Managers,S23 Eye problems,115,S23,Eye problems,2021-04
Midwives,S14 Asthma,112.95332,S14,Asthma,2021-04
Foundation Doctor Year 1,S27 Infectious diseases,112.4375,S27,Infectious diseases,2021-04
Associate Specialist,S99 Unknown causes / Not specified,107.6,S99,Unknown causes / Not specified,2021-04
Other and Local HCHS Doctor Grades,S12 Other musculoskeletal problems,105.55125,S12,Other musculoskeletal problems,2021-04
"Scientific, therapeutic & technical staff",S20 Burns poisoning frostbite hypothermia,104.70665,S20,Burns poisoning frostbite hypothermia,2021-04
Midwives,S18 Blood disorders,103.48,S18,Blood disorders,2021-04
Foundation Doctor Year 1,S28 Injury fracture,101,S28,Injury fracture,2021-04
Nurses & health visitors,S32 Substance abuse,99.36,S32,Substance abuse,2021-04
Consultant,S18 Blood disorders,96.95,S18,Blood disorders,2021-04
Ambulance staff,S24 Endocrine / glandular problems,94.52,S24,Endocrine / glandular problems,2021-04
Specialty Registrar,S23 Eye problems,89.8625,S23,Eye problems,2021-04
Central functions,S14 Asthma,89.55334,S14,Asthma,2021-04
Other staff or those with unknown classification,S25 Gastrointestinal problems,86.48,S25,Gastrointestinal problems,2021-04
Ambulance staff,S14 Asthma,85,S14,Asthma,2021-04
Core Training,S26 Genitourinary & gynaecological disorders,84.4625,S26,Genitourinary & gynaecological disorders,2021-04
Other staff or those with unknown classification,S16 Headache / migraine,84.21998,S16,Headache / migraine,2021-04
Foundation Doctor Year 2,S27 Infectious diseases,80.73125,S27,Infectious diseases,2021-04
Specialty Doctor,S21 Ear nose throat (ENT),78.1,S21,Ear nose throat (ENT),2021-04
Associate Specialist,S28 Injury fracture,77.85,S28,Injury fracture,2021-04
Specialty Registrar,S22 Dental and oral problems,77.83125,S22,Dental and oral problems,2021-04
Managers,S21 Ear nose throat (ENT),74.67973,S21,Ear nose throat (ENT),2021-04
Foundation Doctor Year 1,S21 Ear nose throat (ENT),74.1625,S21,Ear nose throat (ENT),2021-04
HCHS doctors,S32 Substance abuse,69,S32,Substance abuse,2021-04
Consultant,S32 Substance abuse,69,S32,Substance abuse,2021-04
Specialty Doctor,S29 Nervous system disorders,68.8,S29,Nervous system disorders,2021-04
Managers,S14 Asthma,66.2,S14,Asthma,2021-04
Managers,S24 Endocrine / glandular problems,64,S24,Endocrine / glandular problems,2021-04
Hospital Practitioner / Clinical Assistant,S12 Other musculoskeletal problems,61.9314,S12,Other musculoskeletal problems,2021-04
Ambulance staff,S18 Blood disorders,59,S18,Blood disorders,2021-04
Consultant,S24 Endocrine / glandular problems,58,S24,Endocrine / glandular problems,2021-04
Foundation Doctor Year 2,S30 Pregnancy related disorders,58,S30,Pregnancy related disorders,2021-04
Senior managers,S23 Eye problems,57.57337,S23,Eye problems,2021-04
Central functions,S20 Burns poisoning frostbite hypothermia,52.6,S20,Burns poisoning frostbite hypothermia,2021-04
Foundation Doctor Year 2,S22 Dental and oral problems,52.6,S22,Dental and oral problems,2021-04
Support to ST&T staff,S32 Substance abuse,52.5601,S32,Substance abuse,2021-04
Other staff or those with unknown classification,S27 Infectious diseases,52.52,S27,Infectious diseases,2021-04
Other staff or those with unknown classification,S13 Cold Cough Flu - Influenza,52.32,S13,Cold Cough Flu - Influenza,2021-04
Core Training,S19 Heart cardiac & circulatory problems,52,S19,Heart cardiac & circulatory problems,2021-04
Other staff or those with unknown classification,S19 Heart cardiac & circulatory problems,51.8,S19,Heart cardiac & circulatory problems,2021-04
Hospital Practitioner / Clinical Assistant,S98 Other known causes - not elsewhere classified,50.7185,S98,Other known causes - not elsewhere classified,2021-04
Foundation Doctor Year 1,S11 Back Problems,50,S11,Back Problems,2021-04
Specialty Doctor,S26 Genitourinary & gynaecological disorders,49.85,S26,Genitourinary & gynaecological disorders,2021-04
Specialty Registrar,S18 Blood disorders,48,S18,Blood disorders,2021-04
Other and Local HCHS Doctor Grades,S98 Other known causes - not elsewhere classified,47.6,S98,Other known causes - not elsewhere classified,2021-04
Consultant,S31 Skin disorders,47,S31,Skin disorders,2021-04
Other staff or those with unknown classification,S98 Other known causes - not elsewhere classified,46.30667,S98,Other known causes - not elsewhere classified,2021-04
Other staff or those with unknown classification,S99 Unknown causes / Not specified,45.8,S99,Unknown causes / Not specified,2021-04
Foundation Doctor Year 1,S24 Endocrine / glandular problems,45,S24,Endocrine / glandular problems,2021-04
Associate Specialist,S26 Genitourinary & gynaecological disorders,44.54813,S26,Genitourinary & gynaecological disorders,2021-04
Managers,S18 Blood disorders,44,S18,Blood disorders,2021-04
Core Training,S31 Skin disorders,44,S31,Skin disorders,2021-04
Other staff or those with unknown classification,S28 Injury fracture,43.52,S28,Injury fracture,2021-04
"Scientific, therapeutic & technical staff",S32 Substance abuse,42.8,S32,Substance abuse,2021-04
Specialty Doctor,S14 Asthma,42.6,S14,Asthma,2021-04
Consultant,S22 Dental and oral problems,42.52,S22,Dental and oral problems,2021-04
Consultant,S14 Asthma,42.4,S14,Asthma,2021-04
Specialty Doctor,S23 Eye problems,40.1,S23,Eye problems,2021-04
Hospital Practitioner / Clinical Assistant,S25 Gastrointestinal problems,39.22808,S25,Gastrointestinal problems,2021-04
Hospital Practitioner / Clinical Assistant,S17 Benign and malignant tumours cancers,38.3724,S17,Benign and malignant tumours cancers,2021-04
Foundation Doctor Year 1,S17 Benign and malignant tumours cancers,38,S17,Benign and malignant tumours cancers,2021-04
Specialty Registrar,S24 Endocrine / glandular problems,36.8,S24,Endocrine / glandular problems,2021-04
Midwives,S20 Burns poisoning frostbite hypothermia,36.70675,S20,Burns poisoning frostbite hypothermia,2021-04
Foundation Doctor Year 1,S30 Pregnancy related disorders,36.125,S30,Pregnancy related disorders,2021-04
Other and Local HCHS Doctor Grades,S13 Cold Cough Flu - Influenza,35.74161,S13,Cold Cough Flu - Influenza,2021-04
Foundation Doctor Year 1,S26 Genitourinary & gynaecological disorders,34.93125,S26,Genitourinary & gynaecological disorders,2021-04
Specialty Registrar,S14 Asthma,34,S14,Asthma,2021-04
Senior managers,S31 Skin disorders,32.85333,S31,Skin disorders,2021-04
Foundation Doctor Year 2,S15 Chest & respiratory problems,32,S15,Chest & respiratory problems,2021-04
Hospital Practitioner / Clinical Assistant,S28 Injury fracture,31.6,S28,Injury fracture,2021-04
Hospital Practitioner / Clinical Assistant,S10 Anxiety/stress/depression/other psychiatric illnesses,31.42665,S10,Anxiety/stress/depression/other psychiatric illnesses,2021-04
Foundation Doctor Year 1,S12 Other musculoskeletal problems,31,S12,Other musculoskeletal problems,2021-04
Hospital Practitioner / Clinical Assistant,S15 Chest & respiratory problems,31,S15,Chest & respiratory problems,2021-04
Staff Grade,S10 Anxiety/stress/depression/other psychiatric illnesses,30,S10,Anxiety/stress/depression/other psychiatric illnesses,2021-04
Support to ambulance staff,S20 Burns poisoning frostbite hypothermia,30,S20,Burns poisoning frostbite hypothermia,2021-04
HCHS doctors,S20 Burns poisoning frostbite hypothermia,29.86,S20,Burns poisoning frostbite hypothermia,2021-04
Foundation Doctor Year 2,S21 Ear nose throat (ENT),29.65625,S21,Ear nose throat (ENT),2021-04
Other staff or those with unknown classification,S11 Back Problems,29.6,S11,Back Problems,2021-04
Associate Specialist,S15 Chest & respiratory problems,29.5,S15,Chest & respiratory problems,2021-04
Other staff or those with unknown classification,S21 Ear nose throat (ENT),29.2,S21,Ear nose throat (ENT),2021-04
Senior managers,S21 Ear nose throat (ENT),29,S21,Ear nose throat (ENT),2021-04
Senior managers,S30 Pregnancy related disorders,29,S30,Pregnancy related disorders,2021-04
Core Training,S17 Benign and malignant tumours cancers,27.75,S17,Benign and malignant tumours cancers,2021-04
Associate Specialist,S27 Infectious diseases,26.6,S27,Infectious diseases,2021-04
Foundation Doctor Year 2,S31 Skin disorders,26.2,S31,Skin disorders,2021-04
Associate Specialist,S12 Other musculoskeletal problems,26,S12,Other musculoskeletal problems,2021-04
Associate Specialist,S14 Asthma,25,S14,Asthma,2021-04
Foundation Doctor Year 1,S23 Eye problems,25,S23,Eye problems,2021-04
Hospital Practitioner / Clinical Assistant,S23 Eye problems,24.47387,S23,Eye problems,2021-04
Associate Specialist,S23 Eye problems,24,S23,Eye problems,2021-04
Other staff or those with unknown classification,S15 Chest & respiratory problems,23.33336,S15,Chest & respiratory problems,2021-04
Managers,S22 Dental and oral problems,22.84,S22,Dental and oral problems,2021-04
Senior managers,S20 Burns poisoning frostbite hypothermia,22,S20,Burns poisoning frostbite hypothermia,2021-04
Specialty Doctor,S24 Endocrine / glandular problems,22,S24,Endocrine / glandular problems,2021-04
Senior managers,S24 Endocrine / glandular problems,22,S24,Endocrine / glandular problems,2021-04
Specialty Doctor,S31 Skin disorders,22,S31,Skin disorders,2021-04
Other and Local HCHS Doctor Grades,S15 Chest & respiratory problems,21.8,S15,Chest & respiratory problems,2021-04
Foundation Doctor Year 2,S23 Eye problems,21,S23,Eye problems,2021-04
Associate Specialist,S11 Back Problems,20,S11,Back Problems,2021-04
Other staff or those with unknown classification,S17 Benign and malignant tumours cancers,20,S17,Benign and malignant tumours cancers,2021-04
Senior managers,S29 Nervous system disorders,20,S29,Nervous system disorders,2021-04
Other staff or those with unknown classification,S30 Pregnancy related disorders,20,S30,Pregnancy related disorders,2021-04
Other and Local HCHS Doctor Grades,S26 Genitourinary & gynaecological disorders,19.96661,S26,Genitourinary & gynaecological disorders,2021-04
Associate Specialist,S25 Gastrointestinal problems,19.875,S25,Gastrointestinal problems,2021-04
Foundation Doctor Year 2,S12 Other musculoskeletal problems,19,S12,Other musculoskeletal problems,2021-04
Core Training,S22 Dental and oral problems,19,S22,Dental and oral problems,2021-04
Other and Local HCHS Doctor Grades,S29 Nervous system disorders,18.8001,S29,Nervous system disorders,2021-04
Hospital Practitioner / Clinical Assistant,S13 Cold Cough Flu - Influenza,18.66553,S13,Cold Cough Flu - Influenza,2021-04
Foundation Doctor Year 2,S11 Back Problems,18.6,S11,Back Problems,2021-04
Hospital Practitioner / Clinical Assistant,S99 Unknown causes / Not specified,17.74286,S99,Unknown causes / Not specified,2021-04
Specialty Registrar,S31 Skin disorders,16.86875,S31,Skin disorders,2021-04
Hospital Practitioner / Clinical Assistant,S14 Asthma,16.5,S14,Asthma,2021-04
Other and Local HCHS Doctor Grades,S17 Benign and malignant tumours cancers,15.9999,S17,Benign and malignant tumours cancers,2021-04
Specialty Doctor,S22 Dental and oral problems,15.622,S22,Dental and oral problems,2021-04
Other and Local HCHS Doctor Grades,S11 Back Problems,14.83333,S11,Back Problems,2021-04
Hospital Practitioner / Clinical Assistant,S11 Back Problems,14.79131,S11,Back Problems,2021-04
Other staff or those with unknown classification,S26 Genitourinary & gynaecological disorders,14.74856,S26,Genitourinary & gynaecological disorders,2021-04
Staff Grade,S25 Gastrointestinal problems,14.6,S25,Gastrointestinal problems,2021-04
Other and Local HCHS Doctor Grades,S27 Infectious diseases,14.6,S27,Infectious diseases,2021-04
Foundation Doctor Year 1,S22 Dental and oral problems,14,S22,Dental and oral problems,2021-04
Foundation Doctor Year 1,S20 Burns poisoning frostbite hypothermia,13,S20,Burns poisoning frostbite hypothermia,2021-04
Associate Specialist,S29 Nervous system disorders,13,S29,Nervous system disorders,2021-04
Core Training,S23 Eye problems,12.46875,S23,Eye problems,2021-04
Hospital Practitioner / Clinical Assistant,S26 Genitourinary & gynaecological disorders,12.4,S26,Genitourinary & gynaecological disorders,2021-04
Associate Specialist,S16 Headache / migraine,11.25,S16,Headache / migraine,2021-04
Senior managers,S18 Blood disorders,11,S18,Blood disorders,2021-04
Staff Grade,S30 Pregnancy related disorders,11,S30,Pregnancy related disorders,2021-04
Foundation Doctor Year 2,S29 Nervous system disorders,10.8,S29,Nervous system disorders,2021-04
Associate Specialist,S21 Ear nose throat (ENT),10,S21,Ear nose throat (ENT),2021-04
Foundation Doctor Year 2,S26 Genitourinary & gynaecological disorders,10,S26,Genitourinary & gynaecological disorders,2021-04
Staff Grade,S28 Injury fracture,10,S28,Injury fracture,2021-04
Other staff or those with unknown classification,S24 Endocrine / glandular problems,9.48001,S24,Endocrine / glandular problems,2021-04
Other and Local HCHS Doctor Grades,S25 Gastrointestinal problems,9.17866,S25,Gastrointestinal problems,2021-04
Ambulance staff,S20 Burns poisoning frostbite hypothermia,9,S20,Burns poisoning frostbite hypothermia,2021-04
Hospital Practitioner / Clinical Assistant,S29 Nervous system disorders,8,S29,Nervous system disorders,2021-04
Hospital Practitioner / Clinical Assistant,S16 Headache / migraine,7.5216,S16,Headache / migraine,2021-04
Foundation Doctor Year 1,S31 Skin disorders,7,S31,Skin disorders,2021-04
Associate Specialist,S13 Cold Cough Flu - Influenza,6.6,S13,Cold Cough Flu - Influenza,2021-04
Consultant,S20 Burns poisoning frostbite hypothermia,6,S20,Burns poisoning frostbite hypothermia,2021-04
Core Training,S20 Burns poisoning frostbite hypothermia,6,S20,Burns poisoning frostbite hypothermia,2021-04
Other and Local HCHS Doctor Grades,S16 Headache / migraine,5.82162,S16,Headache / migraine,2021-04
Core Training,S14 Asthma,5,S14,Asthma,2021-04
Senior managers,S14 Asthma,5,S14,Asthma,2021-04
Associate Specialist,S17 Benign and malignant tumours cancers,4,S17,Benign and malignant tumours cancers,2021-04
Foundation Doctor Year 1,S18 Blood disorders,4,S18,Blood disorders,2021-04
Core Training,S24 Endocrine / glandular problems,4,S24,Endocrine / glandular problems,2021-04
Other and Local HCHS Doctor Grades,S30 Pregnancy related disorders,4,S30,Pregnancy related disorders,2021-04
Associate Specialist,S19 Heart cardiac & circulatory problems,3.5,S19,Heart cardiac & circulatory problems,2021-04
Other staff or those with unknown classification,S23 Eye problems,3.2,S23,Eye problems,2021-04
Foundation Doctor Year 1,S29 Nervous system disorders,3,S29,Nervous system disorders,2021-04
Specialty Doctor,S20 Burns poisoning frostbite hypothermia,2.86,S20,Burns poisoning frostbite hypothermia,2021-04
Other and Local HCHS Doctor Grades,S21 Ear nose throat (ENT),2.4,S21,Ear nose throat (ENT),2021-04
Staff Grade,S16 Headache / migraine,2.3,S16,Headache / migraine,2021-04
Hospital Practitioner / Clinical Assistant,S21 Ear nose throat (ENT),2.00668,S21,Ear nose throat (ENT),2021-04
Associate Specialist,S22 Dental and oral problems,2,S22,Dental and oral problems,2021-04
Hospital Practitioner / Clinical Assistant,S27 Infectious diseases,2,S27,Infectious diseases,2021-04
Senior managers,S22 Dental and oral problems,1.72,S22,Dental and oral problems,2021-04
Staff Grade,S11 Back Problems,1,S11,Back Problems,2021-04
Staff Grade,S13 Cold Cough Flu - Influenza,1,S13,Cold Cough Flu - Influenza,2021-04
Other staff or those with unknown classification,S14 Asthma,1,S14,Asthma,2021-04
Core Training,S18 Blood disorders,1,S18,Blood disorders,2021-04
Foundation Doctor Year 2,S18 Blood disorders,1,S18,Blood disorders,2021-04
Other and Local HCHS Doctor Grades,S19 Heart cardiac & circulatory problems,1,S19,Heart cardiac & circulatory problems,2021-04
Specialty Registrar,S20 Burns poisoning frostbite hypothermia,1,S20,Burns poisoning frostbite hypothermia,2021-04
Foundation Doctor Year 2,S20 Burns poisoning frostbite hypothermia,1,S20,Burns poisoning frostbite hypothermia,2021-04
Managers,S20 Burns poisoning frostbite hypothermia,1,S20,Burns poisoning frostbite hypothermia,2021-04
Other staff or those with unknown classification,S20 Burns poisoning frostbite hypothermia,1,S20,Burns poisoning frostbite hypothermia,2021-04
Other staff or those with unknown classification,S22 Dental and oral problems,1,S22,Dental and oral problems,2021-04
Foundation Doctor Year 2,S24 Endocrine / glandular problems,1,S24,Endocrine / glandular problems,2021-04
Other staff or those with unknown classification,S29 Nervous system disorders,1,S29,Nervous system disorders,2021-04
Associate Specialist,S30 Pregnancy related disorders,1,S30,Pregnancy related disorders,2021-04
Associate Specialist,S31 Skin disorders,1,S31,Skin disorders,2021-04
Managers,S31 Skin disorders,1,S31,Skin disorders,2021-04
Other staff or those with unknown classification,S31 Skin disorders,1,S31,Skin disorders,2021-04
Foundation Doctor Year 2,S19 Heart cardiac & circulatory problems,0.8875,S19,Heart cardiac & circulatory problems,2021-04
Staff Grade,S98 Other known causes - not elsewhere classified,0.8,S98,Other known causes - not elsewhere classified,2021-04
Hospital Practitioner / Clinical Assistant,S31 Skin disorders,0.69456,S31,Skin disorders,2021-04
Staff Grade,S99 Unknown causes / Not specified,0.5,S99,Unknown causes / Not specified,2021-04
Hospital Practitioner / Clinical Assistant,S30 Pregnancy related disorders,0.11112,S30,Pregnancy related disorders,2021-04
Staff Grade,S12 Other musculoskeletal problems,0,S12,Other musculoskeletal problems,2021-04
Staff Grade,S14 Asthma,0,S14,Asthma,2021-04
Foundation Doctor Year 2,S14 Asthma,0,S14,Asthma,2021-04
Foundation Doctor Year 1,S14 Asthma,0,S14,Asthma,2021-04
Other and Local HCHS Doctor Grades,S14 Asthma,0,S14,Asthma,2021-04
Staff Grade,S15 Chest & respiratory problems,0,S15,Chest & respiratory problems,2021-04
Staff Grade,S17 Benign and malignant tumours cancers,0,S17,Benign and malignant tumours cancers,2021-04
Foundation Doctor Year 2,S17 Benign and malignant tumours cancers,0,S17,Benign and malignant tumours cancers,2021-04
Associate Specialist,S18 Blood disorders,0,S18,Blood disorders,2021-04
Specialty Doctor,S18 Blood disorders,0,S18,Blood disorders,2021-04
Staff Grade,S18 Blood disorders,0,S18,Blood disorders,2021-04
Hospital Practitioner / Clinical Assistant,S18 Blood disorders,0,S18,Blood disorders,2021-04
Other and Local HCHS Doctor Grades,S18 Blood disorders,0,S18,Blood disorders,2021-04
Other staff or those with unknown classification,S18 Blood disorders,0,S18,Blood disorders,2021-04
Staff Grade,S19 Heart cardiac & circulatory problems,0,S19,Heart cardiac & circulatory problems,2021-04
Foundation Doctor Year 1,S19 Heart cardiac & circulatory problems,0,S19,Heart cardiac & circulatory problems,2021-04
Hospital Practitioner / Clinical Assistant,S19 Heart cardiac & circulatory problems,0,S19,Heart cardiac & circulatory problems,2021-04
Associate Specialist,S20 Burns poisoning frostbite hypothermia,0,S20,Burns poisoning frostbite hypothermia,2021-04
Staff Grade,S20 Burns poisoning frostbite hypothermia,0,S20,Burns poisoning frostbite hypothermia,2021-04
Hospital Practitioner / Clinical Assistant,S20 Burns poisoning frostbite hypothermia,0,S20,Burns poisoning frostbite hypothermia,2021-04
Other and Local HCHS Doctor Grades,S20 Burns poisoning frostbite hypothermia,0,S20,Burns poisoning frostbite hypothermia,2021-04
Staff Grade,S21 Ear nose throat (ENT),0,S21,Ear nose throat (ENT),2021-04
Staff Grade,S22 Dental and oral problems,0,S22,Dental and oral problems,2021-04
Hospital Practitioner / Clinical Assistant,S22 Dental and oral problems,0,S22,Dental and oral problems,2021-04
Other and Local HCHS Doctor Grades,S22 Dental and oral problems,0,S22,Dental and oral problems,2021-04
Staff Grade,S23 Eye problems,0,S23,Eye problems,2021-04
Other and Local HCHS Doctor Grades,S23 Eye problems,0,S23,Eye problems,2021-04
Associate Specialist,S24 Endocrine / glandular problems,0,S24,Endocrine / glandular problems,2021-04
Staff Grade,S24 Endocrine / glandular problems,0,S24,Endocrine / glandular problems,2021-04
Hospital Practitioner / Clinical Assistant,S24 Endocrine / glandular problems,0,S24,Endocrine / glandular problems,2021-04
Other and Local HCHS Doctor Grades,S24 Endocrine / glandular problems,0,S24,Endocrine / glandular problems,2021-04
Staff Grade,S26 Genitourinary & gynaecological disorders,0,S26,Genitourinary & gynaecological disorders,2021-04
Staff Grade,S27 Infectious diseases,0,S27,Infectious diseases,2021-04
Staff Grade,S29 Nervous system disorders,0,S29,Nervous system disorders,2021-04
Core Training,S29 Nervous system disorders,0,S29,Nervous system disorders,2021-04
Staff Grade,S31 Skin disorders,0,S31,Skin disorders,2021-04
Other and Local HCHS Doctor Grades,S31 Skin disorders,0,S31,Skin disorders,2021-04
Associate Specialist,S32 Substance abuse,0,S32,Substance abuse,2021-04
Specialty Doctor,S32 Substance abuse,0,S32,Substance abuse,2021-04
Staff Grade,S32 Substance abuse,0,S32,Substance abuse,2021-04
Specialty Registrar,S32 Substance abuse,0,S32,Substance abuse,2021-04
Core Training,S32 Substance abuse,0,S32,Substance abuse,2021-04
Foundation Doctor Year 2,S32 Substance abuse,0,S32,Substance abuse,2021-04
Foundation Doctor Year 1,S32 Substance abuse,0,S32,Substance abuse,2021-04
Hospital Practitioner / Clinical Assistant,S32 Substance abuse,0,S32,Substance abuse,2021-04
Other and Local HCHS Doctor Grades,S32 Substance abuse,0,S32,Substance abuse,2021-04
Midwives,S32 Substance abuse,0,S32,Substance abuse,2021-04
Ambulance staff,S32 Substance abuse,0,S32,Substance abuse,2021-04
